Population	Sample_no	Sample_id	Prediction	Lat	Lon	distinction
Abkhazians	1	GRC12076288	Abkhazians_0	41.87633211655714	45.99243365724934	170.91893907238708
Abkhazians	2	GRC12076300	Abkhazians_0	43.10798084250429	45.78197128716109	32.8989267364019
Abkhazians	3	GRC12076312	Abkhazians_0	[42.94179921]	[38.52282124]	585.4301058344068
Abkhazians	4	GRC12076324	Abkhazians_0	42.925067055954536	45.98934149619708	57.2539356984619
Altaians	1	GRC12076232	Altaians_3	45.43020945037193	65.99639773868952	1603.643932394758
Altaians	2	GRC12076245	Altaians_4	[52.93711263]	[70.85004122]	1085.7345754676928
Altaians	3	GRC12076244	Altaians_3	50.27965302763159	87.18701314259845	78.32960574872817
Altaians	4	GRC12076256	Altaians_3	50.58776461988907	86.28067848885732	5.5676221921040945
Altaians	5	GRC12076268	Altaians_3	50.528709472015755	86.46311575733071	20.03158926265954
Altaians	6	GRC12076280	Altaians_3	50.590123673742184	86.27247705489185	4.932431671938137
Altaians	7	GRC12076292	Altaians_3	50.33042406610261	87.18936587386955	75.96438914699101
Altaians	8	GRC12076304	Altaians_3	49.63764581461977	88.9638484732372	224.10628541021896
Altaians	9	GRC12076233	Altaians_3	50.58698422652104	86.22135355349494	2.6817625984447697
Altaians	10	GRC12076257	Altaians_3	50.60977203767703	86.21017676473178	0.028250934300426977
Altaians	11	GRC12076269	Altaians_3	50.60230366169989	86.22005504991543	1.111704894151288
Altaians	12	GRC12076281	Altaians_3	50.6096488384589	86.21026973747841	0.043439413875991116
Altaians	13	GRC12076293	Altaians_3	50.60475682162028	86.2166100068723	0.7466491629561176
Altaians	14	GRC12076305	Altaians_3	50.60845334886557	86.2112548558298	0.1934371735133192
Altaians	15	GRC12076317	Altaians_4	50.6081481443363	86.2146310689783	0.38625770821401934
Ambilobe_Madagascar	1	GRC12084554	Ambilobe_Madagascar_3	-13.080082957878814	48.582665473863734	77.81483076927302
Ambilobe_Madagascar	2	GRC12084555	Ambilobe_Madagascar_3	-13.041521439066612	49.009610203052134	32.64014919531721
Ambilobe_Madagascar	3	GRC12084556	Ambilobe_Madagascar_3	-13.071928508287725	49.130347081762004	19.135646177423208
Ambilobe_Madagascar	4	GRC12084558	Ambilobe_Madagascar_3	-13.16190554869077	49.281689189710555	5.063987026006317
Andilambe_Madagascar	1	GRC12084551	Andilambe_Madagascar_0	[-13.90123681]	[39.77723988]	905.2943122527931
Andilambe_Madagascar	2	GRC12084552	Ambilobe_Madagascar_3	-12.623134515255382	47.35752296681717	217.69240393095694
Andilambe_Madagascar	3	GRC12084553	Ambilobe_Madagascar_3	-13.449802804861733	49.182474950402366	38.81525436336649
Antananarivo_Madagascar	1	GRC12084544	Ambilobe_Madagascar_3	-12.862360270103839	48.70897778364229	70.15265546456176
Antananarivo_Madagascar	2	GRC12084545	Ambilobe_Madagascar_3	-13.122157250583461	49.25191170530957	5.213094869721973
Antananarivo_Madagascar	3	GRC12084546	Ambilobe_Madagascar_3	-13.520903332746187	49.134808062380486	48.028381598917
Bermudian	1	GRC12084574	Dane_1	55.94380688175222	10.02883248058476	6.500856094708089
Bermudian	2	GRC12084587	Bermudian_1	[34.11802122]	[-56.21468289]	822.1211375311069
Bermudian	3	GRC12084576	Ambilobe_Madagascar_3	-9.070500995206896	37.539760558993564	1359.5850394981755
Bermudian	4	GRC12084577	Bermudian_1	32.22084403388595	-64.67930412627857	13.15882237431619
Bermudian	5	GRC12084578	Bermudian_1	32.117811373014476	-63.92921260873418	82.87234048662663
Bermudian	6	GRC12084588	Ambilobe_Madagascar_3	-12.384678622898903	47.162134789178324	245.84833693198436
Bermudian	7	GRC12087852	Andilambe_Madagascar_0	-15.02260450433168	46.24704690218289	202.6298803674091
Bermudian	8	GRC12087856	Ambilobe_Madagascar_3	-2.7768400716829085	23.009987868741142	3110.954121968557
Bermudian	9	GRC12084575	Andilambe_Madagascar_0	[-8.63529958]	[31.10035342]	1996.3879229838565
Bermudian	10	GRC12084585	Ambilobe_Madagascar_3	-13.103413674617878	49.25438305164775	5.273180105330055
Bermudian	11	GRC12087853	Ambilobe_Madagascar_3	-12.728644027695486	48.20917899427339	125.97547337510434
Bermudian	12	GRC12087854	Andilambe_Madagascar_0	-14.021134977164554	43.54867597399729	513.5165783423893
Bermudian	13	GRC12087857	Ambilobe_Madagascar_3	-12.91556069696076	48.74076015014849	64.7108177843787
Bermudian	14	GRC12087850	Andilambe_Madagascar_0	[-9.49130624]	[33.27500359]	1739.7467944630077
Bermudian	15	GRC12087851	Andilambe_Madagascar_0	[-10.11982919]	[34.66258059]	1572.4179565318022
Bermudian	16	GRC12087858	Bermudian_4	[29.60392966]	[-59.68683423]	570.91418826739
Binjhal	1	GRC12081934	Binjhal_0	22.594527954145434	88.33064310858357	4.8246478492590485
Binjhal	2	GRC12081996	Binjhal_0	22.566762596609113	88.34679157299273	2.040858378518539
Bulgaria	1	GRC10039197	Bulgaria_1	40.89081664012866	22.649797870108724	174.7854013597961
Bulgaria	2	GRC11049092	Bulgaria_1	40.71738167506358	22.813291864574087	190.80162801200495
Bulgaria	3	GRC11069148	Bulgaria_1	41.83901595739462	23.14611031982536	63.593623028970484
